"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ficussuzhou",,,,"User:","xtgu"
"Cmdline:","dstat --output=dstat/dstat_face_verification_20.csv -cdn -m",,,,"Date:","02 Aug 2015 22:19:29 CST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","used","buff","cach","free"
2.172,1.428,95.812,0.578,0.000,0.010,211656.925,289415.926,0.0,0.0,17417781248.0,1709957120.0,13554446336.0,713457664.0
42.322,3.995,53.558,0.0,0.0,0.125,0.0,28672.0,49770.0,50246.0,17629089792.0,1709957120.0,13558566912.0,498028544.0
51.935,3.496,43.945,0.375,0.0,0.250,0.0,618496.0,110564.0,131142.0,17635917824.0,1709957120.0,13556064256.0,493703168.0
49.308,3.522,46.541,0.126,0.0,0.503,1024.0,54272.0,102879.0,118689.0,17639116800.0,1709957120.0,13554761728.0,491806720.0
51.641,3.535,44.444,0.126,0.0,0.253,0.0,57344.0,100357.0,116312.0,17643474944.0,1709957120.0,13554102272.0,488108032.0
54.296,3.861,40.847,0.498,0.0,0.498,0.0,73728.0,103761.0,125832.0,17644965888.0,1709957120.0,13553602560.0,487116800.0
57.071,5.682,36.869,0.0,0.0,0.379,0.0,53248.0,120116.0,129436.0,17648128000.0,1709957120.0,13561233408.0,476323840.0
64.232,3.778,31.612,0.0,0.0,0.378,0.0,253952.0,112646.0,125592.0,17661431808.0,1709961216.0,13563543552.0,460705792.0
70.870,3.531,25.095,0.0,0.0,0.504,4096.0,20480.0,103455.0,116188.0,17683681280.0,1709961216.0,13567070208.0,434929664.0
50.625,3.500,45.750,0.0,0.0,0.125,0.0,12288.0,102715.0,114090.0,17684709376.0,1709961216.0,13554520064.0,446451712.0
43.805,3.129,52.441,0.375,0.0,0.250,0.0,90112.0,78810.0,93986.0,17686364160.0,1709961216.0,13549944832.0,449372160.0
50.633,2.658,46.076,0.127,0.0,0.506,0.0,1171456.0,110223.0,123610.0,17684639744.0,1709969408.0,13552635904.0,448397312.0
50.256,3.205,46.026,0.128,0.0,0.385,0.0,253952.0,115616.0,138326.0,17689538560.0,1709973504.0,13552676864.0,443453440.0
50.063,3.279,45.902,0.126,0.0,0.631,1024.0,54272.0,114398.0,139108.0,17690288128.0,1709973504.0,13558022144.0,437358592.0
