"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ficussuzhou",,,,"User:","xtgu"
"Cmdline:","dstat --output=dstat/dstat_face_pair_verification_20.csv -cdn -m",,,,"Date:","03 Aug 2015 00:56:27 CST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","used","buff","cach","free"
2.211,1.418,95.795,0.566,0.000,0.010,201888.996,284424.743,0.0,0.0,17758085120.0,1558298624.0,13647134720.0,432123904.0
16.603,2.155,81.242,0.0,0.0,0.0,0.0,12288.0,60053.0,1572294.0,17878806528.0,1558298624.0,13636390912.0,322146304.0
1.631,1.380,96.989,0.0,0.0,0.0,0.0,0.0,39180.0,1090847.0,17878872064.0,1558298624.0,13645848576.0,312623104.0
1.252,1.377,97.372,0.0,0.0,0.0,0.0,0.0,9676.0,4148.0,17876910080.0,1558298624.0,13645770752.0,314662912.0


"Host:","ficussuzhou",,,,"User:","xtgu"
"Cmdline:","dstat --output=dstat/dstat_face_pair_verification_20.csv -cdn -m",,,,"Date:","03 Aug 2015 01:00:53 CST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","used","buff","cach","free"
2.211,1.418,95.795,0.566,0.000,0.010,202787.316,284258.028,0.0,0.0,17710059520.0,1523503104.0,13860294656.0,301785088.0
16.750,2.625,80.500,0.0,0.0,0.125,0.0,0.0,55430.0,1444090.0,17823252480.0,1472610304.0,13860089856.0,239689728.0
1.258,0.881,97.358,0.503,0.0,0.0,0.0,245760.0,45158.0,1140876.0,17823047680.0,1472610304.0,13860380672.0,239603712.0
1.896,1.011,97.092,0.0,0.0,0.0,0.0,5562368.0,10621.0,5585.0,17822920704.0,1472610304.0,13869928448.0,230182912.0
2.018,1.387,94.199,2.396,0.0,0.0,0.0,147456.0,18527.0,2559.0,17823502336.0,1472610304.0,13865922560.0,233607168.0
2.645,1.637,95.718,0.0,0.0,0.0,0.0,12288.0,7477.0,2934.0,17825316864.0,1472610304.0,13862199296.0,235515904.0
23.262,3.666,72.946,0.0,0.0,0.126,0.0,0.0,36008.0,33542.0,17907097600.0,1387081728.0,13869920256.0,231542784.0
7.143,1.403,91.071,0.383,0.0,0.0,0.0,241664.0,19440.0,11326.0,17914425344.0,1387081728.0,13867290624.0,226844672.0
4.506,2.128,93.367,0.0,0.0,0.0,1024.0,218112.0,2653.0,2966.0,17915715584.0,1355960320.0,13882396672.0,241569792.0
1.752,2.003,95.870,0.375,0.0,0.0,0.0,53248.0,2570.0,1688.0,17915785216.0,1355960320.0,13871276032.0,252620800.0
25.127,2.157,72.589,0.0,0.0,0.127,0.0,0.0,28405.0,32318.0,17918992384.0,1355960320.0,13876891648.0,243798016.0
5.772,1.380,92.723,0.0,0.0,0.125,0.0,0.0,10221.0,10822.0,17920819200.0,1355960320.0,13870718976.0,248143872.0
1.750,1.125,96.625,0.500,0.0,0.0,0.0,221184.0,13412.0,6116.0,17921081344.0,1355960320.0,13870931968.0,247668736.0
0.875,1.750,97.375,0.0,0.0,0.0,0.0,36864.0,12596.0,1446.0,17919254528.0,1355960320.0,13872504832.0,247922688.0
12.676,1.793,85.275,0.128,0.0,0.128,1024.0,82944.0,35843.0,30528.0,17919406080.0,1355960320.0,13869273088.0,251002880.0
7.585,1.264,90.518,0.632,0.0,0.0,0.0,53248.0,21244.0,15970.0,17922052096.0,1355960320.0,13871071232.0,246558720.0
1.135,1.135,97.730,0.0,0.0,0.0,0.0,0.0,3691.0,3076.0,17922547712.0,1355960320.0,13876305920.0,240828416.0
